scenario_time,value,rolling_avg
140.096745,5.841387,27.499619853333332
140.129596,3.840724,27.50272832111111
140.163989,1.878664,27.50436033777778
140.196952,1.338089,27.50558444888889
140.229684,0.76429,27.504264714444442
140.263127,1.928887,27.504960973333336
140.296863,1.887249,27.506337943333335
140.330645,2.075491,27.508582885555555
140.363437,1.784784,27.50884675777778
140.396699,1.642553,27.50903041666667
140.430798,2.101504,27.510475183333334
140.46354,1.72208,27.512249883333332
140.49617,1.459731,27.513238273333332
140.530349,1.379067,27.513029536666668
140.563577,1.766786,27.51402718
140.59694,1.386766,27.515384131111112
140.630044,1.145857,27.516053378888888
140.662708,1.131973,27.515565926666664
140.682886,1.464063,27.516246734444444
140.712403,1.067239,27.517284342222222
140.746313,0.834736,27.51753578111111
140.779167,0.898631,27.516879955555556
140.81278,1.206751,27.517386000000002
140.847043,0.770314,27.518109658888886
140.88058,0.518155,27.517092471111113
140.913326,1.531854,27.517323431111112
140.94705,1.027249,27.51781958
140.980287,0.536427,27.518074285555553
141.013538,0.188787,27.516230994444445
141.04693,1.473699,27.51666352111111
141.080162,0.978265,27.517308113333335
141.113718,0.49468,27.51630257777778
141.14693,1.835983,27.51662796333333
141.180388,1.810542,27.517750608888893
141.21374,1.953138,27.519425923333333
141.247121,1.658811,27.520087044444445
141.280918,1.469208,27.52039946111111
141.313221,1.424077,27.521318353333335
141.349557,1.713417,27.521918532222223
141.381129,1.3578,27.521720459999997
141.41389,1.097047,27.521972484444447
141.447183,1.004216,27.52161924
141.480997,1.563257,27.522570685555554
141.513915,1.139504,27.52256465111111
141.54725,0.767486,27.522467143333333
141.58085,0.555827,27.522302854444444
141.613577,1.559138,27.522485892222225
141.645745,1.102084,27.52258264444444
141.680165,0.64785,27.52247994
141.713324,0.200607,27.522270858888888
141.74688,0.265153,27.52123144333333
141.780598,2.278931,27.52289213
141.813378,1.955344,27.524843358888887
141.84686,1.687894,27.524773662222223
141.880383,1.504948,27.525535196666667
141.913457,1.43724,27.526986041111115
141.946919,1.716838,27.52692224777778
141.980315,1.353752,27.527489154444446
142.013533,1.047726,27.52832950666667
142.046883,0.85904,27.528025732222222
142.080345,1.68268,27.528934504444443
142.113553,1.256472,27.529760865555556
142.146827,0.835209,27.529687536666668
142.180378,0.428561,27.529161661111115
142.213493,0.181205,27.528508598888887
142.246863,1.509095,27.52946337
142.280607,1.123015,27.52962208555556
142.31361,1.853999,27.53055020888889
142.346663,1.588982,27.531845345555556
142.380076,1.39896,27.53215095
142.413693,1.991303,27.53359075222222
142.446779,1.595352,27.534904766666664
142.480512,1.212147,27.534690991111113
142.513333,0.857155,27.535249286666666
142.546726,0.581831,27.535107172222226
142.579564,0.527285,27.534488163333336
142.612186,1.317611,27.535626854444445
142.643785,0.929278,27.535457187777777
142.68047,0.573231,27.535177027777774
142.713445,1.710312,27.536286584444444
142.747289,1.523835,27.537151025555556
142.780022,1.983786,27.538462377777776
142.813251,1.593969,27.539395733333336
142.847058,1.213339,27.539323391111115
142.880229,0.853389,27.53897093666667
142.912792,0.554666,27.53932960222222
142.947228,0.457362,27.538373953333334
142.979653,1.367335,27.539279440000005
143.012406,1.016262,27.53974178333333
143.047062,1.855706,27.54058042
143.080083,1.552661,27.541951267777776
143.112588,1.301115,27.54227792888889
143.147022,1.977668,27.54372172222222
143.179178,1.576031,27.544357513333335
143.212445,1.174404,27.54436412333333
143.247204,0.772897,27.54418107555556
143.279836,0.372342,27.544127182222223
143.313326,0.05948,27.542937423333335
143.346676,1.733068,27.54446210777778
143.380375,1.992406,27.545676426666667
143.41328,1.596492,27.546661124444444
143.446601,1.204037,27.547372877777775
143.478878,0.820774,27.547044285555554
143.513164,0.471279,27.547019953333333
143.546821,0.310829,27.546448901111113
143.579499,1.456955,27.547251677777776
143.612523,2.034301,27.54880815
143.645789,1.642526,27.549434739999995
143.677389,1.258934,27.550117266666668
143.712871,0.895445,27.550304648888886
143.746844,0.59261,27.55004225777778
143.780188,1.651173,27.55133995222222
143.813485,1.323293,27.551601747777777
143.846602,1.060134,27.552253346666664
143.880298,1.611917,27.553060317777778
143.913655,1.22092,27.553650905555553
143.946822,0.852479,27.55395009111111
143.980064,0.557023,27.55347758111111
144.01349,1.577432,27.554859543333333
144.046556,1.275319,27.554838001111108
144.079939,1.881061,27.55660753777778
144.114881,1.461801,27.557023915555558
144.146571,1.046624,27.557636446666663
144.179228,0.647219,27.55713578666667
144.213718,0.335114,27.556653476666668
144.246389,1.576273,27.55752268333333
144.280023,2.082976,27.55866106888889
144.314914,1.642954,27.55982311222222
144.346181,1.200693,27.56013584888889
